consequence	context	n	ct_frac
3_prime_UTR_variant	CpG	742001	0.6886971850442251
3_prime_UTR_variant	non-CpG	3726507	0.5312022760188025
3_prime_UTR_variant&NMD_transcript_variant	CpG	31784	0.6501698968034231
3_prime_UTR_variant&NMD_transcript_variant	non-CpG	111493	0.56198146968868
5_prime_UTR_variant	CpG	811399	0.49371640832685276
5_prime_UTR_variant	non-CpG	1557717	0.5272665060469905
5_prime_UTR_variant&NMD_transcript_variant	CpG	4092	0.5127077223851417
5_prime_UTR_variant&NMD_transcript_variant	non-CpG	9608	0.5318484596169858
coding_sequence_variant	CpG	9	0.6666666666666666
coding_sequence_variant	non-CpG	74	0.5540540540540541
coding_sequence_variant&NMD_transcript_variant	CpG	17	0.5882352941176471
coding_sequence_variant&NMD_transcript_variant	non-CpG	25	0.44
downstream_gene_variant	CpG	3338647	0.6135024157989749
downstream_gene_variant	non-CpG	12898218	0.5455142718164633
incomplete_terminal_codon_variant&coding_sequence_variant	CpG	46	0.5652173913043478
incomplete_terminal_codon_variant&coding_sequence_variant	non-CpG	158	0.4936708860759494
intergenic_variant	CpG	6	0.6666666666666666
intergenic_variant	non-CpG	46	0.6956521739130435
intron_variant	CpG	5867122	0.6158678820723346
intron_variant	non-CpG	34363354	0.5162444271301341
intron_variant&NMD_transcript_variant	CpG	123278	0.6213111828550106
intron_variant&NMD_transcript_variant	non-CpG	627475	0.5259189609147775
intron_variant&non_coding_transcript_variant	CpG	1138232	0.626033181284659
intron_variant&non_coding_transcript_variant	non-CpG	5361688	0.5296680821412958
mature_miRNA_variant	CpG	2253	0.6484687083888149
mature_miRNA_variant	non-CpG	9080	0.5639867841409691
missense_variant	CpG	3647053	0.6256829829454083
missense_variant	non-CpG	11559244	0.4809151878790689
missense_variant&NMD_transcript_variant	CpG	12399	0.6302927655456085
missense_variant&NMD_transcript_variant	non-CpG	40062	0.48766911287504366
missense_variant&splice_donor_region_variant	CpG	8	0.625
missense_variant&splice_donor_region_variant	non-CpG	23	0.391304347826087
missense_variant&splice_polypyrimidine_tract_variant&splice_region_variant	CpG	9	0.6666666666666666
missense_variant&splice_polypyrimidine_tract_variant&splice_region_variant	non-CpG	8	0.375
missense_variant&splice_region_variant	CpG	79417	0.6358462293967286
missense_variant&splice_region_variant	non-CpG	385763	0.45884908609690406
missense_variant&splice_region_variant&NMD_transcript_variant	CpG	350	0.6514285714285715
missense_variant&splice_region_variant&NMD_transcript_variant	non-CpG	1658	0.47104945717732205
missense_variant&splice_region_variant&splice_polypyrimidine_tract_variant	CpG	4	1
missense_variant&splice_region_variant&splice_polypyrimidine_tract_variant	non-CpG	5	0.6
missense_variant&stop_retained_variant	non-CpG	1	1
non_coding_transcript_exon_variant	CpG	856188	0.6266357388797787
non_coding_transcript_exon_variant	non-CpG	3042795	0.5300294630430246
non_coding_transcript_variant	CpG	1	1
non_coding_transcript_variant	non-CpG	16	0.5
splice_acceptor_variant	CpG	102	0.7058823529411765
splice_acceptor_variant	non-CpG	132314	0.4876354731925571
splice_acceptor_variant&NMD_transcript_variant	non-CpG	1374	0.47889374090247455
splice_acceptor_variant&missense_variant	non-CpG	2	1
splice_acceptor_variant&non_coding_transcript_variant	CpG	160	0.6125
splice_acceptor_variant&non_coding_transcript_variant	non-CpG	8661	0.484355155293846
splice_acceptor_variant&synonymous_variant	non-CpG	3	0.3333333333333333
splice_donor_5th_base_variant&intron_variant	CpG	16680	0.6187649880095923
splice_donor_5th_base_variant&intron_variant	non-CpG	146341	0.5895545335893564
splice_donor_5th_base_variant&intron_variant&NMD_transcript_variant	CpG	185	0.6054054054054054
splice_donor_5th_base_variant&intron_variant&NMD_transcript_variant	non-CpG	1432	0.5740223463687151
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	CpG	1006	0.6013916500994035
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	non-CpG	7897	0.5635051285298215
splice_donor_5th_base_variant&missense_variant	CpG	1	1
splice_donor_5th_base_variant&missense_variant	non-CpG	6	0.6666666666666666
splice_donor_5th_base_variant&non_coding_transcript_exon_variant	non-CpG	1	1
splice_donor_5th_base_variant&synonymous_variant	CpG	1	1
splice_donor_5th_base_variant&synonymous_variant	non-CpG	7	0.42857142857142855
splice_donor_region_variant&intron_variant	CpG	28428	0.61084142394822
splice_donor_region_variant&intron_variant	non-CpG	189889	0.6046321798524401
splice_donor_region_variant&intron_variant&NMD_transcript_variant	CpG	284	0.602112676056338
splice_donor_region_variant&intron_variant&NMD_transcript_variant	non-CpG	1880	0.5962765957446808
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	CpG	1843	0.6185567010309279
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	non-CpG	10039	0.564498456021516
splice_donor_region_variant&synonymous_variant	CpG	4	0.75
splice_donor_region_variant&synonymous_variant	non-CpG	3	0.3333333333333333
splice_donor_variant	CpG	13058	0.6124215040588146
splice_donor_variant	non-CpG	180005	0.5515013471848004
splice_donor_variant&NMD_transcript_variant	CpG	142	0.5633802816901409
splice_donor_variant&NMD_transcript_variant	non-CpG	1900	0.5321052631578947
splice_donor_variant&missense_variant	CpG	1	1
splice_donor_variant&missense_variant	non-CpG	4	0.25
splice_donor_variant&non_coding_transcript_variant	CpG	840	0.6047619047619047
splice_donor_variant&non_coding_transcript_variant	non-CpG	12221	0.5392357417559938
splice_donor_variant&splice_polypyrimidine_tract_variant&non_coding_transcript_variant	non-CpG	1	1
splice_polypyrimidine_tract_variant&intron_variant	CpG	98298	0.6151091578668946
splice_polypyrimidine_tract_variant&intron_variant	non-CpG	914758	0.5412491609802811
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	CpG	984	0.6199186991869918
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	non-CpG	8857	0.5416055097662865
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	CpG	5084	0.6428009441384737
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	non-CpG	37840	0.5384513742071881
splice_polypyrimidine_tract_variant&splice_donor_region_variant&intron_variant&non_coding_transcript_variant	non-CpG	3	0.3333333333333333
splice_polypyrimidine_tract_variant&splice_region_variant&intron_variant	CpG	30386	0.597577831896268
splice_polypyrimidine_tract_variant&splice_region_variant&intron_variant	non-CpG	325238	0.5843659105024628
splice_polypyrimidine_tract_variant&splice_region_variant&intron_variant&NMD_transcript_variant	CpG	313	0.5814696485623003
splice_polypyrimidine_tract_variant&splice_region_variant&intron_variant&NMD_transcript_variant	non-CpG	3200	0.59125
splice_polypyrimidine_tract_variant&splice_region_variant&intron_variant&non_coding_transcript_variant	CpG	1619	0.6232242124768376
splice_polypyrimidine_tract_variant&splice_region_variant&intron_variant&non_coding_transcript_variant	non-CpG	14042	0.551345962113659
splice_polypyrimidine_tract_variant&splice_region_variant&non_coding_transcript_exon_variant	non-CpG	1	1
splice_polypyrimidine_tract_variant&splice_region_variant&synonymous_variant	CpG	8	0.375
splice_polypyrimidine_tract_variant&splice_region_variant&synonymous_variant	non-CpG	4	0.5
splice_region_variant&3_prime_UTR_variant	CpG	392	0.6275510204081632
splice_region_variant&3_prime_UTR_variant	non-CpG	2116	0.5595463137996219
splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant	CpG	679	0.6480117820324006
splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant	non-CpG	3130	0.5536741214057508
splice_region_variant&5_prime_UTR_variant	CpG	3435	0.5633187772925764
splice_region_variant&5_prime_UTR_variant	non-CpG	18298	0.5327904689037053
splice_region_variant&5_prime_UTR_variant&NMD_transcript_variant	CpG	23	0.6956521739130435
splice_region_variant&5_prime_UTR_variant&NMD_transcript_variant	non-CpG	128	0.5625
splice_region_variant&coding_sequence_variant&NMD_transcript_variant	non-CpG	2	0.5
splice_region_variant&intron_variant	CpG	37678	0.5987578958543447
splice_region_variant&intron_variant	non-CpG	213356	0.5598530156170907
splice_region_variant&intron_variant&NMD_transcript_variant	CpG	296	0.625
splice_region_variant&intron_variant&NMD_transcript_variant	non-CpG	2126	0.5682031984948259
splice_region_variant&intron_variant&non_coding_transcript_variant	CpG	2018	0.6446977205153618
splice_region_variant&intron_variant&non_coding_transcript_variant	non-CpG	9523	0.5407959676572509
splice_region_variant&non_coding_transcript_exon_variant	CpG	6500	0.6241538461538462
splice_region_variant&non_coding_transcript_exon_variant	non-CpG	30835	0.5269661099400033
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	CpG	29933	0.5954297932048241
