consequence	context	n	ct_frac
3_prime_UTR_variant	CpG	116527	0.6253743767538854
3_prime_UTR_variant	non-CpG	658083	0.5618759335828459
3_prime_UTR_variant&NMD_transcript_variant	CpG	3345	0.672645739910314
3_prime_UTR_variant&NMD_transcript_variant	non-CpG	12079	0.5738885669343489
5_prime_UTR_variant	CpG	197964	0.4429946859024873
5_prime_UTR_variant	non-CpG	401739	0.5376898931893592
5_prime_UTR_variant&NMD_transcript_variant	CpG	366	0.5218579234972678
5_prime_UTR_variant&NMD_transcript_variant	non-CpG	1304	0.5544478527607362
coding_sequence_variant	CpG	4	0.5
coding_sequence_variant	non-CpG	2	0.5
coding_sequence_variant&NMD_transcript_variant	CpG	1	1
downstream_gene_variant	CpG	1193595	0.5975041785530267
downstream_gene_variant	non-CpG	4099810	0.5753910547074133
incomplete_terminal_codon_variant&coding_sequence_variant	CpG	2	0.5
incomplete_terminal_codon_variant&coding_sequence_variant	non-CpG	2	1
intron_variant	CpG	1199229	0.5850458919856008
intron_variant	non-CpG	6583994	0.5409069327827456
intron_variant&NMD_transcript_variant	CpG	14146	0.6338894387105896
intron_variant&NMD_transcript_variant	non-CpG	68211	0.5575786896541614
intron_variant&non_coding_transcript_variant	CpG	500695	0.6001298195508243
intron_variant&non_coding_transcript_variant	non-CpG	2046124	0.5658356971522742
mature_miRNA_variant	CpG	770	0.564935064935065
mature_miRNA_variant	non-CpG	3928	0.5873217922606925
missense_variant	CpG	1568441	0.6416613694745291
missense_variant	non-CpG	4848115	0.5004221228250567
missense_variant&NMD_transcript_variant	CpG	210	0.5761904761904761
missense_variant&NMD_transcript_variant	non-CpG	684	0.5102339181286549
missense_variant&splice_donor_5th_base_variant	non-CpG	3	0.6666666666666666
missense_variant&splice_donor_region_variant	CpG	3	0.6666666666666666
missense_variant&splice_donor_region_variant	non-CpG	4	0.5
missense_variant&splice_region_variant	CpG	32508	0.6432570444198351
missense_variant&splice_region_variant	non-CpG	152409	0.47216371736577234
missense_variant&splice_region_variant&NMD_transcript_variant	CpG	2	0.5
missense_variant&splice_region_variant&NMD_transcript_variant	non-CpG	28	0.4642857142857143
non_coding_transcript_exon_variant	CpG	138608	0.578177305783216
non_coding_transcript_exon_variant	non-CpG	416689	0.5719493435151876
splice_acceptor_variant	CpG	26	0.6923076923076923
splice_acceptor_variant	non-CpG	49195	0.5219432869194024
splice_acceptor_variant&NMD_transcript_variant	non-CpG	95	0.5368421052631579
splice_acceptor_variant&non_coding_transcript_variant	CpG	3	0.6666666666666666
splice_acceptor_variant&non_coding_transcript_variant	non-CpG	1507	0.5401459854014599
splice_acceptor_variant&synonymous_variant	non-CpG	1	1
splice_donor_5th_base_variant&intron_variant	CpG	6405	0.5956284153005464
splice_donor_5th_base_variant&intron_variant	non-CpG	57370	0.593271744814363
splice_donor_5th_base_variant&intron_variant&NMD_transcript_variant	CpG	5	0.6
splice_donor_5th_base_variant&intron_variant&NMD_transcript_variant	non-CpG	70	0.6142857142857143
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	CpG	170	0.5117647058823529
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	non-CpG	1454	0.5735900962861072
splice_donor_5th_base_variant&synonymous_variant	non-CpG	4	0.5
splice_donor_region_variant&intron_variant	CpG	11334	0.6263455090877007
splice_donor_region_variant&intron_variant	non-CpG	75173	0.622869913399758
splice_donor_region_variant&intron_variant&NMD_transcript_variant	CpG	8	0.5
splice_donor_region_variant&intron_variant&NMD_transcript_variant	non-CpG	83	0.5662650602409639
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	CpG	338	0.5355029585798816
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	non-CpG	1907	0.6114315679077085
splice_donor_region_variant&synonymous_variant	non-CpG	1	0
splice_donor_variant	CpG	4807	0.5496151445808196
splice_donor_variant	non-CpG	70286	0.5340608371510684
splice_donor_variant&NMD_transcript_variant	CpG	9	0.5555555555555556
splice_donor_variant&NMD_transcript_variant	non-CpG	89	0.5168539325842697
splice_donor_variant&missense_variant	non-CpG	1	1
splice_donor_variant&non_coding_transcript_variant	CpG	115	0.5739130434782609
splice_donor_variant&non_coding_transcript_variant	non-CpG	2271	0.563188022897402
splice_polypyrimidine_tract_variant&intron_variant	CpG	38853	0.6183306308393174
splice_polypyrimidine_tract_variant&intron_variant	non-CpG	351889	0.5490481373387631
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	CpG	54	0.5925925925925926
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	non-CpG	551	0.5444646098003629
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	CpG	834	0.6115107913669064
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	non-CpG	6236	0.5687940987812701
splice_region_variant&3_prime_UTR_variant	CpG	131	0.6106870229007634
splice_region_variant&3_prime_UTR_variant	non-CpG	635	0.5905511811023622
splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant	CpG	52	0.6730769230769231
splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant	non-CpG	254	0.5787401574803149
splice_region_variant&5_prime_UTR_variant	CpG	953	0.5435466946484785
splice_region_variant&5_prime_UTR_variant	non-CpG	5492	0.546613255644574
splice_region_variant&5_prime_UTR_variant&NMD_transcript_variant	CpG	6	0.5
splice_region_variant&5_prime_UTR_variant&NMD_transcript_variant	non-CpG	30	0.4666666666666667
splice_region_variant&intron_variant	CpG	14883	0.6032385943694147
splice_region_variant&intron_variant	non-CpG	83352	0.5688885689605528
splice_region_variant&intron_variant&NMD_transcript_variant	CpG	13	0.6923076923076923
splice_region_variant&intron_variant&NMD_transcript_variant	non-CpG	103	0.6213592233009708
splice_region_variant&intron_variant&non_coding_transcript_variant	CpG	395	0.5367088607594936
splice_region_variant&intron_variant&non_coding_transcript_variant	non-CpG	1718	0.5756693830034925
splice_region_variant&non_coding_transcript_exon_variant	CpG	1285	0.5618677042801556
splice_region_variant&non_coding_transcript_exon_variant	non-CpG	5718	0.5557887373207415
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	CpG	24826	0.6041649883186981
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	non-CpG	255180	0.5974684536405674
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	CpG	17	0.5882352941176471
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	non-CpG	425	0.5905882352941176
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	CpG	564	0.6099290780141844
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	non-CpG	4599	0.5823005001087193
splice_region_variant&stop_retained_variant	non-CpG	23	1
splice_region_variant&synonymous_variant	CpG	18129	0.6709691654255613
splice_region_variant&synonymous_variant	non-CpG	62720	0.7925860969387755
splice_region_variant&synonymous_variant&NMD_transcript_variant	non-CpG	11	0.8181818181818182
